speaker,utterance_id,processed_pcm_sha256,reference_sha256,hypothesis_sha256,reference_words,hypothesis_words,hits,substitutions,deletions,insertions,errors,wer
ABA,arctic_a0014,a19f3ceb0dc8d22d8ba194f75f0fdd172e1a619eb4cd129d999dd0d9e6208efe,824ce2a2634d7c06cc04aab76da26560b3275ae8a80b4dcc765c070c84e4c91b,662edeaa6c40887d7a5b46f2b4d451102950a6372707eef212ddb5028de0b036,10,10,9,1,0,0,1,0.1
ABA,arctic_a0015,125c8a60174d42326cee315d7836f7d300a9191c5defd331ea3024d7fd9da114,242c4ed28ca71fe4c1ba1aba313da31563daf7a084930e2bd04fab97db40c472,d22e82cf3e52f516be32a5125f999b3ad1249662aad55b3bbabecb02f277d204,5,5,4,1,0,0,1,0.2
ABA,arctic_a0016,d956f7d8d019a3768c8152bcf8b4f274109ff62c5db1b6038fa777b0bc750b1f,a49027b16a92a7536ae1d89be19d6418efd003db4e869e8af94fc9cd054a8a80,9150dd44a851ecc16991e08bee5e5a1b5ffc72ce1f856e2bb507b92d6d11da1e,11,11,9,2,0,0,2,0.181818181818
ABA,arctic_a0017,f3742378edfd1b1732c9e3a0bb06b1346339ca3fe6fa685b5339a2b764564f27,2a7d3892603d07105be0ac62cc6a5a8c0026610fcd13f476c0a462bd5b42da99,d9352dd66d51a4d4bf173440fec2071848db46de4aa6fffb2a83ce5ac98690cf,12,14,9,3,0,2,5,0.416666666667
ABA,arctic_a0018,2f28d4533db54f41350466dac81c0cfeb214651e906b23a85f7f73da4cfa0960,d989935dcb5dc0af8a956066990f7936a854238ba9e62444a5cd166acbd37abd,b6c1d6cce032a6ac723ba0b04091abdbfb15d0479b194d73ff4f422457e9c232,5,5,5,0,0,0,0,0.0
ABA,arctic_a0019,dc169b7ef41f55ad8b7bdbb9e84a3de7d01db736fc3ff83bd7c57c6b7208ca87,1d08b69b057210da83b0a6a7c4ef149dd89f01e19e4198a2a322ec1033d5323f,229b8056802613b9f518a339c12d72692fd1a6844456261786722273a023a596,11,11,11,0,0,0,0,0.0
ABA,arctic_a0020,4fc128f777d2dc2ccb38120c7365a6e4c8f2704c8c9358a04b58ab63973bc4fc,83b5077ad31be06992e1217088adb5c561808338e9835a3310ded8ea8925f1b5,693a4fc415a9c352f3ecb072547129ef1b758e70e9509307c94068956ebf8cce,10,10,8,2,0,0,2,0.2
ABA,arctic_a0021,02b1ee572d1ae2cd875c7f39ce35c3c97688bed4adde8d532110dc58cfe31a72,50be27c538629a6cd2da47740eb3bdb43a10a86aac21ce89522d18a2ecbce966,8ec6e22676f21589d1fa1072e1e9cdba1eca0674614c86bf007a60c581f65112,7,7,7,0,0,0,0,0.0
ABA,arctic_a0022,edb962f90f943aad27c41a6c5596e7fb2fa0871e8ca13a26d69176f73f2d3c8c,5cf08c504fae07c89f76212b58b1879e974298b7f1cbbd1743f4912e5e481201,c37820a52384ef6aee0b09464b55b3dea6389576c9a3c5841cf6c2d1616306bc,13,13,12,1,0,0,1,0.076923076923
ABA,arctic_a0023,0b5e4721c288e62cd57925f098397451a01add1132f52ddc27cec2779761fda7,5c47c606673a77a9a15bb3fe129a5d4de93c13ade1d1e6a9deedebbc90131955,f3a7ca86eeb4ac279f545d5cd845584e3f36baec1d0b22369830284eb36789f7,13,13,13,0,0,0,0,0.0
ABA,arctic_a0024,5ce4473578eadfaa34de83f631df4edd7d22f7c2cb9b5ee9797e74804f27abba,adafab77c2f2612b2a0eb4cec8cca9352a78b8de5c236c9ce00a6cc6f87e7a28,cf57f08f87e58b2af73d2817fc10f3811e0e0fe918129ff3b16e0678a474eec9,13,13,13,0,0,0,0,0.0
ABA,arctic_a0025,b0682e91cf35441d05b870d05a1957857005456a57a5ba29168a78f9e2383eda,4e2561579689287b7216cfe2b240c5e5c7705091d2b3a777a9d2cbbd5bedef32,f269ca23de2464af9e6df7236ad2fbe31ccf5784ececf76487a19ba169ba8a37,10,10,9,1,0,0,1,0.1
ABA,arctic_a0026,ae9acca57082ec859ad2ac2efce40a8cef60bec77bb4e0b74987fe4bc02a7e79,61510adf8428abc1adb7332cedf04410d5fbf2c1d53ff5bdf388a62f86d27fbd,d673117bc8b7321dee92bff89c1246d37aca505d82b22418772620e3680c9115,12,12,12,0,0,0,0,0.0
ABA,arctic_a0027,a5c3a94da2bf6eca276cf8f218f43510401392300623147310d35a33f91fbaab,07d8f7200117a8febb7ee4a9250ff98ed34b76adfd39f6650e2a6d4edc9f63fe,c2614675541be98af1324577bc15d2690577abf8b472a7e41f1d431e4f6f7cf4,12,12,12,0,0,0,0,0.0
ABA,arctic_a0028,3a8963791e0c3dc25a29c02a014ae8ee0e4e0ceb6790699ab0ab7149ac515750,be56b2ed72a0264b18a711c5a0fda73c0735b9b82ca369e6c9a3d1024a0f42fc,c170da8c73bd83f2337a2936235c4650c61c44cb17a8efbd59c9eafd206073d6,3,3,3,0,0,0,0,0.0
ABA,arctic_a0029,1a201f36f725c17363dc3c3b815e4e613b89498184668b598f217815fb065714,b1bb881cf44184c4bab3be183e7d7ac270d828919660406633a2927eb050bab5,cdb9734cff5495f68eb8d22b086df517f019b092c8da89f7eda05d0b867ac909,9,9,9,0,0,0,0,0.0
ABA,arctic_a0030,f75589fc4539ac98501aaf31b4fcb1aa0403fab390b08e6c8868220ba318d5b6,756a8c7b687d77f6f81c7dbc7ba7a503ce7933287fb286ab01339a8e5cb11617,3f65dd41341fcd771cb119233165a5222f6d5257e4abfab21f30801b046e2ab2,5,5,5,0,0,0,0,0.0
ABA,arctic_a0031,6a0430361d140dfdcd5846c3e2828c017217ed63afb74cbac134e8e12594b418,6434b47ae915f34bb29b3f49d2e1061a89084eed9558d93e5f785c5524e15468,a2073ac7173d79f90636e0995edebd564d6bda523f7f809849de6251b9431dfc,5,5,5,0,0,0,0,0.0
ABA,arctic_a0032,25f7ccd6968d6cb69ecfd854b6809b2a08b79a477d2865838144120a61e96173,7743495ad7108b5522fe70af6a5c5d3ba3936860aacbc8e2177e5dbfc63f3115,6a59be321282b205d4fe0b3f22aa4b0a0abb721c809a60baf152fc4e9d5260e3,12,12,11,1,0,0,1,0.083333333333
ABA,arctic_a0033,6e3bd0793cb5803785c681835298ed890d19d94399b63acbc0552c7403a091bf,a9e0dcb437e571f72e0a349caf2652f5a37a2a5f7680eade8f1930c7dc30a3e8,46709fdd7460273a90e4c3b4346db45a48096f575d6ffcf4ba6140355ca4119b,11,12,10,1,0,1,2,0.181818181818
ABA,arctic_a0034,9b692cce09630561a2fe8637135d11f5d2730608862f675dcf6b4a529fa910c9,d8b86448c6b6c20adfdf7560e7994cb19e40bec57b12abb4e4143e1e177c0c94,31319ceda6332936779763db2d04cfcdb5757bae6f59516698808b8e2ed7dfde,12,12,11,1,0,0,1,0.083333333333
ABA,arctic_a0035,0769354455009cb1c2f4b17a89d814428c7a9dace596ea87e2ffd8267d6c1d09,9b0f65d342d228ef1647363cb7a9835efb45185d98e1c2f2d2ccd83a3893f7f3,8d195ce75216ad7a916154b8f3c2ebbefd79242fcbb86c21bdf8355b4fc86640,12,13,11,1,0,1,2,0.166666666667
ABA,arctic_a0036,adae9e8d40ca54e074415f9e5fefc73420cdc06d10166e7521e0f17d5e0c23d4,cb761c9a451468c143e09eccb4e5f62d913f849446d59b75f7e9c723363c7550,7d61a8dddd4f4a19aa279a2b18049a4d45682ccafe3a5700a9669d3de3df881d,6,7,6,0,0,1,1,0.166666666667
ABA,arctic_a0037,a13dc2dddfcd964ce791423044c95300ce1030ca24df78001a6ebe6f9bf2c7ef,2fc972c355f442f17d66502268b3a8a50b1ec5b1e0b06b0e61c2c702a3e3ae47,4218104902c2a5b8085b41ce3fe0f9fad35024b7d134da165382b12f7ab4fdad,8,8,8,0,0,0,0,0.0
ABA,arctic_a0038,4823d3374776a9633a6ddd48d2ab377ffafabce96abf88c3108d3de89dffe27e,e4d09e07e53af7718105a05161af0c9f70e2d0f8e4d074182ffecdba4c202086,3157a03bc98eedf60a9c56ad4f2e9e4f77b4fd70b72c7084274dc527189953ac,7,7,7,0,0,0,0,0.0
ABA,arctic_a0039,e320cd093605fae84bb9de56df29bd4c4de475333c6a0f4f8ca6dc9106820e88,3f27678ab5293c888b9e7b09be09bbbef39d39b89e2ce47121e1b9392158666f,dde04823d05eeb44c8a768a8a82c5f946b3088e6542e34afcba715f24116c473,11,11,11,0,0,0,0,0.0
ABA,arctic_a0040,fbd02ccfac5a452e96695300a8d02c3442ab8bc394b12d22d6dfe28d5c8c85a2,1d36f9dd5dda4a4dd4e1df7c1f5189a99f6772e9c192bb5ce52175945500e504,65ee49020d1db12ac69c7d47cc54a4c45e2b089d34d700b6984f7c56b833199c,10,10,10,0,0,0,0,0.0
ABA,arctic_a0041,3b82a61bc427e61a2e10bf55416f876f77935be71968ba40335565465f8951ee,bf4e731564fc7b4c7faeaf2bf7225845c2cc68df944a0eba87d1430fec690611,05270f4ad9ff3afcf9e5800b805294ab6650ae323218c4801f2f22f31cfe4103,9,8,7,1,1,0,2,0.222222222222
ABA,arctic_a0042,b11020303e3d4cfb211cf26bb16fa3e701b1cff52286b724d235dab21d951d04,6a5db97cf51869a76ba757b229388c558aab73ce6cc04774884421cb290a90a4,49f902dbc781dc7dc80785a0a686e26c201c19b43e478fa546065955229b431a,9,9,8,1,0,0,1,0.111111111111
ABA,arctic_a0043,d74aaaf3706399b2a1ea0e3377ec00d8251cb4e75d60024ed0bed0e557ac7099,8225706c08b06886e12edd47d23f4ffa499cc93fc9c7abcf62c2ff3d8c746cbd,959ad0acf4bd63adb9d214abc79030764cf362a14700b625bc17c6e4175a0ed8,13,13,12,1,0,0,1,0.076923076923
ABA,arctic_a0044,0d6e1f9cbf87aa1d33c3a5317974920a18cb694f862f363830704fe33f643b8f,f1846b30179fbf46058495bff2dfec3883078049d5e10b45c755d790ad04b35f,f9b9d4ed32e3e4755aff91d71230833f0b6bf906340d2ab6734506900383d10e,11,11,10,1,0,0,1,0.090909090909
ABA,arctic_a0045,ea283ffbcf7b88a525c2d9863008c46fb806aba385fca6175879cc74d5807723,d7c78f8953c84f2ca39512258898e699cf9360a0d7ed476f6747b18f6b23ea68,5c5bf54ace3ee2027014a8198ca22ab99dead39bc1e352521fb53a1da976eca1,9,9,9,0,0,0,0,0.0
ABA,arctic_a0046,2efe1fd452f3f561daf61e114299ba2e9ec0a2166c4eee4a10e56b3b39dc3d3f,84b1ac283adf80baf795e76ccd9c8f31a4133531196d8d85e306e0085cf650f8,33b001774de66510b6ff5f139fed575650ba6858c7ce49d8152db63e6eaeb520,10,10,10,0,0,0,0,0.0
ABA,arctic_a0047,0cf91b89136b7c1ff2adc4b246a19d312fe662994d214da4807620d5aa57b10a,a3be652f458de873e268275f64fa9036a40fc9560afac7361dbc2bc6c30bb889,e227571804faa06c5a80fda3910bc75fe9bbc435af7d5f4062150cc6c5e6a2c5,11,11,9,2,0,0,2,0.181818181818
ABA,arctic_a0048,f5f3676b292cf8da0a26302cae35eb37d04b5ddb01b884d94b8d43df96230a4a,09b05f3ab2b9fd0cffd6df7abed589a1e23654fbf788ce97c3a6bae87be1bc5b,666d57e82c7ba2c4522608114983c54394a9bd14e7ff75925e699f186592ae96,7,8,6,1,0,1,2,0.285714285714
ABA,arctic_a0049,6b813ce24690ee8e0875955c7da6c281f8695a86a9b0ac95ce91164b9f6bec42,d64d29442470aaa6ac6f8bc2eebdc3dd488f687808cfbe8090ecf2945c0c555e,fe4228716b38cda992a995a0d52d4d3c86dc72bb62f3b2305f8daea27e375ed4,8,9,7,1,0,1,2,0.25
ABA,arctic_a0050,e607cc9affc1a9a1c7d10aac8023f408ccf2efcd8c033a066ecda4ae171366c3,2d573b1059efdff12288aa7f034f7f8738ae90bad3a01f8820cebfe5c1a240ef,52be25c55d07603ac71b03a603903be91858e7802568d9b0e1704b4b362b38e5,10,10,9,1,0,0,1,0.1
ABA,arctic_a0051,66a0a827afb596867cc2ce0f1f8759c99f59ee6e9642618b6b6c90cc5347497b,8b4e1e6a3b43c732cb598bb0772160fdbe4b9d78bf12fa2f211fd3853dbb5bb7,fb80b338a61855e2717cffa1e8a9cbb6b1bb747086336dada8b20e13894767c5,12,12,11,1,0,0,1,0.083333333333
ABA,arctic_a0052,2ecc721502891af9927a5f3ffedd7a20921c4b38fa19dadc158a54b81e1a8f83,6a6934f41627ce934c7b29f55d7844529325e45daac770aef054729923440741,fb9204fe50d55b6418f405ca5ee0e4f44a9f1eb0fcacc4c98c8d3ac5b19bf381,5,5,5,0,0,0,0,0.0
ABA,arctic_a0053,7f9dbdf137c5acfcc83418a594f9aa2d9c5fd1aa676bfd0faf9a8a5b8a1eb7a1,b73aab65223447fd465ce5652db6aea31c24977be9d3bb615efd24ae95d0056c,467f81ab4e8821a0fe822c8a00d41f5b6b3ee693825080ec709232ebe299c458,8,9,7,1,0,1,2,0.25
ABA,arctic_a0054,b69eaa37310402b3ad6605236935b57884c65d29250eb8fb082b38fe900414ca,c45ff9c6e90b86adf263bda9efc319770dddad95adb35f056b64afde87bbc932,4a02ee74d2f7dee5c0bb04d7465f3924369306412d4c0e90cb0c891c89b82cea,6,6,6,0,0,0,0,0.0
ABA,arctic_a0055,a7fe56750d27b50e27ee0abc3e4556af8a8d5f3e4f13a9eff297a303631ed9a5,73b5a62e0a84fd27999f6b492b24d8298a57458ed31c5831959be87707bb7722,a37f78240bcf8b6a3a5ad8f7f464c3a84a4ea655ff9c0c19a659cc249af269a5,11,11,10,1,0,0,1,0.090909090909
ABA,arctic_a0056,c4e32edcdba695ba7bbb1a1641c4bfbca96a076afe9de7f5a03160875c7b53be,5400df7f98fce09e3c99de09bccd58953dfc8637ed66dd0c273d165bbb6e5720,d02ebc04d1503c991e5f7120bf06306aae6cd954c830263d1b81bf33b134e9cb,9,9,8,1,0,0,1,0.111111111111
ABA,arctic_a0057,5c775b66cd96ffa5a4a16da06ba5271df6ff1c5206cc478ea1cbe8b39c039882,3d89a03fd6e94b3065de5f5819832bb7801aca6d1b59a010cfd4419de3e06a45,cbf447b97569e89f89b8cf3112039a2971add3f2f8b8a145f4f128bdc26ce3d9,6,6,5,1,0,0,1,0.166666666667
ABA,arctic_a0058,aed7be15fade1346bc5fbb2ed7563c372cb19419b71922dee8debbb5685c9030,1a06579e86e64d2af233fc47f0ed801ad05ecf49e0b83af2d6459ddec2a5bbb2,fcb02c7c8b54e35ce53487d5dfbd1fd3d74e20da6fe36614d11e1c2039c2c4d7,11,11,11,0,0,0,0,0.0
ABA,arctic_a0059,face06e6e2d307370383bad3e1e5fac997fdd34124734bcdc04c9f2900b21f29,1c0ada3c01a6cd25dc97d3775f8f8dc3582e7750a4365203cde9362752f8bdb5,13ec2693f93dfe54a2810a4563572551f34ae09e22ebcd1c5ca6138a30f75a49,5,5,5,0,0,0,0,0.0
ABA,arctic_a0060,bde3f9aeebf370c7ac7d277998778834813a0e5534c6a187a773f3b48cf5d46a,d0e7963a6175eefb86bbb07522968edac35ade1354bc54a1b42c3d26d681ee25,e855226c238f8dc68e83132414266f77304c39af022d631fb6c7c324b6a0a789,7,9,5,2,0,2,4,0.571428571429
ABA,arctic_a0061,e850e9a4805ebd20d5e84db79fe27cfd0dbd164fb03ec21aabd368c56cbc52d4,461dac5bf8d893b28f50e41ab17c7bc7f70ffca6e67d41f63da5547071c7d619,8481b47d3e1eade8bf94a9fc33bfaa5fcde55b2c62f7caf763e85a02c7871070,11,10,9,1,1,0,2,0.181818181818
ABA,arctic_a0062,0f0d7cf04026f829578cd1346d69a10b54a6eff60bde25076b615d95762fb6aa,d6da71c1e3728418fd6f10c95eb9ce0df22c5279ad193720b50b36b3686fd8f7,1b449962785bff35041c0141a0f4be76ef19589d59e56347983319418ab46aed,8,8,8,0,0,0,0,0.0
ABA,arctic_a0063,e2cf39846f0ca9241093610543a58cb97dd029ef7e8d49c84263cc16ff7ac1cd,c94c40307f188fa669a3e4c96be41c1f66d52a3e6b639ae2dc8332a80e8177f8,26c7a2612c5c84ec77a2d149948708aa44321bf4abd453de400d1f3dbca7227f,9,9,9,0,0,0,0,0.0
ABA,arctic_a0064,f37b6efdc2eb9df386eab393c270f2536ccccc2d18502afc5763925416a0d22c,c0ca53a449270e0638c8559fb60f74142d80af474717e110881f601475e982fd,029a0a5d2fd4f5ceb61fa642e8baf7c39e913523e8ce58d1063582975b46134a,9,9,9,0,0,0,0,0.0
ABA,arctic_a0065,22b8123086c035a8a139b990affd6a0dc4d95e0bf5e96da4624329a27b9bebb8,615d0cc4eb4cf60f0cf285cbe65d16a361f6fa9d0a3489b0d5529cf7addf3e55,8374426b9c562467b2f9e2c95b3eba2634b1373efcae70c0810ce7ad8f2cb9b3,11,11,11,0,0,0,0,0.0
ABA,arctic_a0066,8e1394affc1b0f3de0c380ec503fecacbd9dbbdc6a7b2e2e72c55e753e2dc0db,da18790be80bd7a529bc708dc0fabc1088187e992a737a2305b703a88701a3fc,33ce9e3436b0ad0fe539caaa24b0529a81fe028468de9db86860692b3735c066,7,7,5,2,0,0,2,0.285714285714
ABA,arctic_a0067,3b7bd628d2227afb8e28a6c3dccb081f87f1fd5e9a0134c7822f25315a7172f4,4fac2995c047f6c7f33fcffacaf677628bed3de581cca57d85051ba0a7dc5dbb,e3ca988d9520cda8fbc89678bbb4ae298db5f138bda1e5fe9082a3d5e43fa7f3,7,7,6,1,0,0,1,0.142857142857
ABA,arctic_a0068,5222d88b13f422aa5700ffd1ab0fe78617fce5da724ea8fbf14aee330f32bc29,dc773cd9c59420aebda18842c97bcc07ea90d8fbf3b69d66976a8eb170b564a1,920eb165ee2ee56a28807bd95cfe931b7e36ea44f4c02a2805cb7afdb3d3a1b3,7,7,6,1,0,0,1,0.142857142857
ABA,arctic_a0069,a20fe59159640e3510fb0345b2f1857e064f240ca548a4738c2015cf859ffc95,4af58e4d86662173d3462ce9df95c1fc1d5fbb37f1c04a345e0e8ef509ee8f0c,9852a50666c0efb200e1b95cdfb25e1f881f540d3c40ebe57ba2df6a8ec7bb91,11,11,10,1,0,0,1,0.090909090909
ABA,arctic_a0070,cea98dd05497e54c07c1ec2fd7289ee3f82869de23a1503f83bbd59c973af015,cb6b36314b8ab99bc71324b866c6b9df81b547c1ba6c17a8a70e753d0200e015,51358446750c68c090237083f49840d922776a38a51e5d1b9e45eff6a0b5b27a,11,11,10,1,0,0,1,0.090909090909
ABA,arctic_a0071,3498e8c9a29fd264dc1a8724cebcdd6f95e3f677bf8e20c40d3968b2e2e434f3,46624a042e3af045581e0dc7db0b1ed0a71c7d1e86be12e03a1eb1b3dae68caa,e2f0650285c411c23e7845c12c8dfacfc75d2dce1f36ded330bd06c8ba47ed0d,8,8,8,0,0,0,0,0.0
ABA,arctic_a0072,802a407a923fb2da0cb514981757844abd08614e14fed3e9a30510ec5d95c528,81a875ed03d6f2bcd49aa9dce6fc0b28c79190e85c3728ad12a1cf1545c2aa49,b22f5c342c9c642f4ea1d993bf5d85ce5e76f13fdbbabe22cba4e7bb82fc006f,6,5,3,2,1,0,3,0.5
ABA,arctic_a0073,7c3863c745ffff36c61ce696e799e896f5ed6976f0b098c8fb59c26e64c62d98,223a41ba95ff7ed65de26fb51d2f719f650563f448f1e541291ab0643f1f1408,edf2a0002796a245eba377cccf538fad529590cc7d131d734d60859e361a93ff,12,13,10,2,0,1,3,0.25
ABA,arctic_a0074,a7773b446cd11ade9066a26e6d39d718859fd6b50922127d644954e69889fcd1,f8f5e47a25c3e818462f8593d68a0cc96b7a26520f55e564dfe0bebad683d56e,7f78b3b2adb33ef2422d69bd2a2256e11ac423d85238b492b11b985bb06745c9,9,9,8,1,0,0,1,0.111111111111
ABA,arctic_a0075,de3999748aa207cea7aaa952424023881c2a8b33f705dbc01ef6a529f5738afb,73f6639e4d50cb681958c5e1fa92054f4f1f9923046734d7a555997e9c08b2b6,e5de8085a7a760de5ec766051fb6bd89d26a1b4e1e4079d5f530edc4fad72e14,8,8,8,0,0,0,0,0.0
ABA,arctic_a0076,18f988d30ce57b06607b35be0e640e727512b8333ac9dcc251a307edfdcbd8c7,2f21c1f1a06dbbe3b32d108ef99b868133895946d1fdf60bb01e1c6e99ee6c4a,e30a4043abf59285ba4a6cf67d7d34d0bc78e896be161f649ed141782d749c9a,7,7,5,2,0,0,2,0.285714285714
ABA,arctic_a0077,18f1581a08c68feb327a146163b973a4c4897345d75b49f2fbcf94093e4f8380,64f1992c5ddcec9a0d4ec3de90493e5e8b98953c18b7a03d5f75f938bf0de9fb,5c596651f1dbcdae8723a80ba42aace79d8c550d94ce18e21110d887d7d5813a,7,7,7,0,0,0,0,0.0
ABA,arctic_a0078,d079d159e9a846efae3c33ef40c5b46232a1401663fe481922617a2fdaf18fec,c0f204b7e7cddeb672da13a996cdf51ededf1b0dd85792baaee2d8ff8553b50f,ada34308d2b8556ec4e0d6051c29d1c25a50375725d6b4bd24b860056c94e928,9,8,8,0,1,0,1,0.111111111111
ABA,arctic_a0079,a56c48427bb53f6adff904ea0c59bf19b7ad5d4172cbfc0a80e0164df23771a1,3742b2a0c4d485fcb3c872fe4d043074a1acf12e2ba02c2d8d7db1862553f485,8244f214dae35c91186504288c3f503fd3c4ec4a4c016d29946ff27a4603e77a,5,5,4,1,0,0,1,0.2
ABA,arctic_a0080,afb9d8c00a7ee4d9c371503e50aac1dfb4e7bda05f3a0b9625359bf4e7002925,8492dd82f37fc67f440f0492c2064b28071b223c215f970a34ddbbc7c7b9b4f1,b2041dc70406d39f54156b594d11fddcda1d7be34e358ed3522907fd90d805de,5,5,4,1,0,0,1,0.2
ABA,arctic_a0081,0cf75a5c6184f2f48e852a28847740123ec251ff69a60e0393d45a13a5ed9ab1,ea29ce50dd81e2d4f2f852ca5a6183adab3da15601c4a40069e17187459c77cf,f8d69ae92cfa074da000e54b404d50ca9f182bbf453f288564826cc706a85ccb,9,9,8,1,0,0,1,0.111111111111
ABA,arctic_a0082,ff71f48e8a4b62ed863f3e48385c45e8f0f4b70abbe0971a4e6a3e6f20722721,c3006cf6825d6b9e831d20cad70aea2af4373461ae9d1fd8d7666b7929d20de5,468106bd0cd776e0252a2fd797b6b35192fc0ac84a8c2768a37a376dd8293082,6,6,6,0,0,0,0,0.0
ABA,arctic_a0083,6b8fba2135fc3233a6c810e6e22ba32538241116c1aad6632b0b7a6c3f36b1dd,86ca607f2a4f6590c51e6a0e1830e69b3529b0caf197a7c27aff915df14cfd6d,0fbdf5ca36cc1765f83bb96a4c0a54c3894003191cf99fb481d38080a04c4bf5,8,7,6,1,1,0,2,0.25
ABA,arctic_a0084,c681eb53076491e9f4f660ca48481a5d4bac39edbef2c13edf13f989dd543240,fa67632cbae39711ed57b58654a4b4ceb1899661abbd49c104f5a939c2feffaf,cb3ab25b08241af80b59acfa6e13ce52977e6746a131a8582721a61e33e44745,13,13,11,2,0,0,2,0.153846153846
ABA,arctic_a0085,42cc10f5fae494aae0fea895b465e60dfeb3a2e02afdb8e6d9dc967aeddf0ebf,81d7e596a5be9443f3d6330ce599804aff5122128267e777c85bdb6130822970,b922c3748fb7658be359933514f88b83535867fbbb88f8d19017264bfc394229,9,9,8,1,0,0,1,0.111111111111
ABA,arctic_a0086,3550f07ee14898387d71675f2628a1327b3dded40ee908894df590241384b230,9b5fc426d4e962d75a93fa36495bbf9f039f0ff3c682a070cbc454e242d98d45,344ac7d1946f61d7386c680495c7d7feb27e08c6ec3a4b87e30a09f5aeb30cf3,6,6,5,1,0,0,1,0.166666666667
